TECNOLOGIA	Título
Plasma convalescente	Effect of Convalescent Plasma Therapy on Time to Clinical Improvement in Patients With Severe and Life-threatening COVID-19: A Randomized Clinical Trial
Hidroxicloroquina	A Randomized Trial of Hydroxychloroquine as Postexposure Prophylaxis for Covid-19
Hidroxicloroquina	A Randomized Trial of Hydroxychloroquine as Postexposure Prophylaxis for Covid-19
Agentes imunológicos	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Agentes imunológicos	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Anticorpos	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Anticorpos	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
ASC09F	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
ASC09F	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Azivudina	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Azivudina	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Baloxavir marboxil	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Baloxavir marboxil	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Cloroquina	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Cloroquina	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Corticosteroides	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Corticosteroides	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Danoprevir	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Danoprevir	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Darunavir	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Darunavir	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Favipiravir	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Favipiravir	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Interferon	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Interferon	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Lopinavir	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Lopinavir	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Oxigenação por membrana extracorpórea (ECMO)	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Oxigenação por membrana extracorpórea (ECMO)	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Oxigenoterapia	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Oxigenoterapia	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Plasma convalescente	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Plasma convalescente	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Ribavirina	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Ribavirina	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Ritonavir	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Ritonavir	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Sangue do cordão umbilical	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Sangue do cordão umbilical	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Terapia celular	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Terapia celular	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Terapia de inalação hidrogênio-oxigênio	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Terapia de inalação hidrogênio-oxigênio	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Terapia de inalação óxido nítrico	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Terapia de inalação óxido nítrico	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Terapia psicológica	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Terapia psicológica	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Triazavirina	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Triazavirina	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Umifenovir	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Umifenovir	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Vitaminas	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Vitaminas	Characteristics of registered studies for Coronavirus disease 2019 (COVID-19): A systematic review.
Cloroquina	Cytokine storm in COVID-19: pathogenesis and overview of anti-inflammatory agents used in treatment.
Corticosteroides	Cytokine storm in COVID-19: pathogenesis and overview of anti-inflammatory agents used in treatment.
Hidroxicloroquina	Cytokine storm in COVID-19: pathogenesis and overview of anti-inflammatory agents used in treatment.
Imunoglobulina	Cytokine storm in COVID-19: pathogenesis and overview of anti-inflammatory agents used in treatment.
Tocilizumabe	Cytokine storm in COVID-19: pathogenesis and overview of anti-inflammatory agents used in treatment.
Anti-inflamatórios não esteroidais	COVID-19 and NSAIDS: A Narrative Review of Knowns and Unknowns.
Corticosteroides	Use of corticosteroids in asthma and COPD patients with or without COVID-19.
Corticosteroides	Use of corticosteroids in asthma and COPD patients with or without COVID-19.
Tocilizumabe	Tociluzumab challenge: A series of cytokine storm therapy experience in hospitalized Covid-19 pneumonia patients.
Rituximabe	Persisting SARS-CoV-2 viremia after rituximab therapy: Two cases with fatal outcome and a review of literature.
Dexmedetomidina	Dexmedetomidine and worsening hypoxemia in the setting of COVID-19: A case report.
Ciclosporina	Covid-19 infection in psoriasis patients treated with cyclosporin.
Tocilizumabe	Feasibility of Tocilizumab in ICU patients with COVID-19.
Leflunomida	Efficacy and Safety of Leflunomide for Refractory COVID-19: An Open-label Controlled Study.
Azitromicina	Incidence and Determinants of QT Interval Prolongation in COVID-19 Patients Treated with Hydroxychloroquine and Azithromycin.
Hidroxicloroquina	Incidence and Determinants of QT Interval Prolongation in COVID-19 Patients Treated with Hydroxychloroquine and Azithromycin.
Tocilizumabe	Efficacy and safety of tocilizumab in severe COVID-19 patients: a single-centre retrospective cohort study.
Corticosteroides	Baseline Disease Activity and Steroid Therapy Stratify Risk of COVID-19 in Patients with Inflammatory Bowel Disease.
Cloroquina	Efficacy and safety of current therapeutic options for COVID-19 - lessons to be learnt from SARS and MERS epidemic: A systematic review and meta-analysis.
Hidroxicloroquina	Efficacy and safety of current therapeutic options for COVID-19 - lessons to be learnt from SARS and MERS epidemic: A systematic review and meta-analysis.
Interferon	Efficacy and safety of current therapeutic options for COVID-19 - lessons to be learnt from SARS and MERS epidemic: A systematic review and meta-analysis.
Lopinavir	Efficacy and safety of current therapeutic options for COVID-19 - lessons to be learnt from SARS and MERS epidemic: A systematic review and meta-analysis.
Remdesivir	Efficacy and safety of current therapeutic options for COVID-19 - lessons to be learnt from SARS and MERS epidemic: A systematic review and meta-analysis.
Ribavirina	Efficacy and safety of current therapeutic options for COVID-19 - lessons to be learnt from SARS and MERS epidemic: A systematic review and meta-analysis.
Ritonavir	Efficacy and safety of current therapeutic options for COVID-19 - lessons to be learnt from SARS and MERS epidemic: A systematic review and meta-analysis.
Umifenovir	Efficacy and safety of current therapeutic options for COVID-19 - lessons to be learnt from SARS and MERS epidemic: A systematic review and meta-analysis.
Favipiravir	A SYSTEMATIC ANALYSIS OF THE TIME COURSE TO DEVELOP TREATMENTS FOR COVID-19.
Hidroxicloroquina	A SYSTEMATIC ANALYSIS OF THE TIME COURSE TO DEVELOP TREATMENTS FOR COVID-19.
Lopinavir	A SYSTEMATIC ANALYSIS OF THE TIME COURSE TO DEVELOP TREATMENTS FOR COVID-19.
Meplazumabe	A SYSTEMATIC ANALYSIS OF THE TIME COURSE TO DEVELOP TREATMENTS FOR COVID-19.
Remdesivir	A SYSTEMATIC ANALYSIS OF THE TIME COURSE TO DEVELOP TREATMENTS FOR COVID-19.
Ritonavir	A SYSTEMATIC ANALYSIS OF THE TIME COURSE TO DEVELOP TREATMENTS FOR COVID-19.
Tocilizumabe	A SYSTEMATIC ANALYSIS OF THE TIME COURSE TO DEVELOP TREATMENTS FOR COVID-19.
Cloroquina	Rapid systematic review on clinical evidence of chloroquine and hydroxychloroquine in COVID-19: critical assessment and recommendation for future clinical trials.
Cloroquina	Rapid systematic review on clinical evidence of chloroquine and hydroxychloroquine in COVID-19: critical assessment and recommendation for future clinical trials.
Hidroxicloroquina	Rapid systematic review on clinical evidence of chloroquine and hydroxychloroquine in COVID-19: critical assessment and recommendation for future clinical trials.
Hidroxicloroquina	Rapid systematic review on clinical evidence of chloroquine and hydroxychloroquine in COVID-19: critical assessment and recommendation for future clinical trials.
Cloroquina	Chloroquine and hydroxychloroquine in the management of COVID-19: Much kerfuffle but little evidence
Hidroxicloroquina	Chloroquine and hydroxychloroquine in the management of COVID-19: Much kerfuffle but little evidence
Antimaláricos	Trials and tribulations: so many potential treatments, so few answers
Tocilizumabe	COVID-19: Consider IL6 receptor antagonist for the therapy of cytokine storm syndrome in SARS-CoV-2 infected patients.
Tocilizumabe	COVID-19: Consider IL6 receptor antagonist for the therapy of cytokine storm syndrome in SARS-CoV-2 infected patients.
Tocilizumabe	COVID-19: Consider IL6 receptor antagonist for the therapy of cytokine storm syndrome in SARS-CoV-2 infected patients.
Cloroquina	Chloroquine-induced torsades de pointes in a patient with coronavirus disease 2019.
Tocilizumabe	Interleukin-6 Blockade Treatment for COVID-19 associated Cytokine Release Syndrome in a Patient with Poorly Controlled Chronic Myeloid Leukaemia.
Azitromicina	Experience with Hydroxychloroquine and Azithromycin in the COVID-19 Pandemic: Implications for QT Interval Monitoring
